,sample,position_1_1,position_2_1,position_3_1,position_4,position_5
196,5-4-001,21.10000000000012,,129.4642857142857,,708.9338235294117
197,5-4-002,7.649999999999935,,112.59615384615387,,556.8145161290322
198,5-4-003,5.9722222222222126,,,180.44444444444443,
199,5-4-004,5.714285714285728,,125.8254716981132,184.41666666666669,
200,5-4-005,14.671052631578974,,225.37037037037038,156.52777777777777,
201,5-4-006,8.076923076923107,,,133.5655737704918,
202,5-4-007,,,118.79032258064517,0.0,
203,5-4-008,9.88095238095242,,,132.9956896551724,
204,5-4-009,5.1388888888888875,,124.5,175.1736111111111,
205,5-4-010,8.749999999999995,,,126.29166666666666,
206,5-4-011,8.854166666666663,,,109.359375,
207,5-4-012,4.666666666666694,,,113.73546511627906,
208,5-4-013,4.37499999999999,,,113.36309523809524,
209,5-4-014,7.414772727272714,,,98.47916666666666,
210,5-4-015,13.749999999999984,,,98.86627906976744,
211,5-4-016,3.9204545454545325,,,88.19444444444444,
212,6-1-001,3.7187499999999982,,118.12500000000001,266.0875,
213,6-1-002,56.035000000000025,,,143.20833333333334,
214,6-1-003,6.306818181818177,,70.62500000000001,133.27380952380952,
215,6-1-004,8.839285714285715,,96.5909090909091,247.78571428571428,274.5079787234043
216,6-1-005,5.526315789473685,,,101.08928571428571,
217,6-1-006,6.875000000000006,,,101.17732558139535,
218,6-1-007,17.138157894736842,,,109.375,
219,6-1-008,4.333333333333328,,,102.16346153846153,
220,6-1-009,13.090277777777784,,,114.63235294117646,
221,6-1-010,6.490384615384634,,,105.48986486486486,
222,6-1-011,6.249999999999992,,,98.88888888888889,
223,6-1-012,8.616071428571404,,76.83035714285714,102.63888888888889,
224,6-1-013,5.16666666666668,,,90.47256097560975,
225,6-1-014,7.875000000000007,,,95.28125,
226,6-1-015,12.232142857142831,,,91.64634146341463,
227,6-2-001,8.874999999999966,,103.45454545454547,,407.65714285714284
228,6-2-002,2.6249999999999885,,,,250.33823529411765
229,6-2-003,6.23076923076924,,,236.42465753424656,
230,6-2-004,4.0000000000000036,,77.46666666666668,247.1772151898734,
231,6-2-005,2.960000000000007,,78.57142857142857,159.1304347826087,
232,6-2-006,5.000000000000004,,91.23333333333333,150.73333333333335,
233,6-2-007,5.164473684210524,,,83.45170454545455,295.625
234,6-2-008,12.351190476190474,,,86.5340909090909,
235,6-2-009,6.171874999999993,,60.3219696969697,88.57954545454545,
236,6-2-010,8.203124999999991,,63.416666666666664,100.0,
237,6-2-011,8.308823529411772,,,86.25771604938272,345.625
238,6-2-012,5.769230769230769,,41.49999999999999,85.83333333333333,
239,6-2-013,9.154411764705884,,62.11890243902439,82.10365853658536,
240,6-2-014,5.7031249999999964,,63.826219512195124,,399.68750000000006
241,6-3-001,7.937499999999986,,88.33333333333333,245.94827586206895,273.2094594594595
242,6-3-002,5.347222222222253,,53.92857142857144,205.31249999999997,221.90051020408163
243,6-3-003,15.937499999999993,,,134.9831081081081,
244,6-3-004,7.0673076923076925,,70.20833333333334,147.33552631578948,
245,6-3-005,7.638888888888889,,,88.41145833333333,
246,6-3-006,11.583333333333348,,,123.44907407407408,
247,6-3-007,6.590909090909092,,,110.35326086956522,
248,6-3-008,4.541666666666666,,,105.46875,
249,6-3-009,5.048076923076919,,,106.15625000000001,
250,6-3-010,3.229166666666658,,,110.34883720930233,
